Sl no.,STATE NAME,CONSTITUENCY,latitude,longitude,WINNER NAME,CATEGORY,SOCIAL CATEGORY,PARTY,PARTY SYMBOL,Number of voters,VOTERS TURN OUT (IN %),MARGIN
167,Jharkhand,Hazaribagh,23.7888,85.355,Jayant Sinha,GEN,GEN,Bharatiya Janata Party,Lotus,971242,77.7,159128
168,Jharkhand,Jamshedpur,22.4867,86.4997,Bidyut Baran Mahato,GEN,GEN,Bharatiya Janata Party,Lotus,1143945,51.05,99876
169,Jharkhand,Khunti,23.0236,85.1894,Karia Munda,ST,ST,Bharatiya Janata Party,Lotus,1049787,53.06,92248
170,Jharkhand,Kodarma,24.377,86.0122,Ravindra Kr. Ray,GEN,GEN,Bharatiya Janata Party,Lotus,1049164,53.3,98654
171,Jharkhand,Lohardaga,23.1977,84.6897,Sudarshan Bhagat,ST,ST,Bharatiya Janata Party,Lotus,795352,60.51,6489
172,Jharkhand,Palamau,23.8325,85.9586,Vishnu Dayal Ram,SC,SC,Bharatiya Janata Party,Lotus,737611,71.58,263942
173,Jharkhand,Rajmahal,24.7904,87.6186,Vijay Kumar Hansdak,ST,ST,Jharkhand Mukti Morcha,Bow & Arrow,651639,75.55,41337
174,Jharkhand,Ranchi,23.4088,85.355,Ram Tahal Choudhary,GEN,GEN,Bharatiya Janata Party,Lotus,978159,79.75,199303
175,Jharkhand,Singhbhum,22.3651,85.4376,Laxman Giluwa,ST,ST,Bharatiya Janata Party,Lotus,967348,81.27,87524
176,Karnataka,Bagalkot,16.1357,75.6208,Gaddigoudar Parvtagouda Chandanagouda,GEN,GEN,Bharatiya Janata Party,Lotus,1071495,76.15,116560
177,Karnataka,Bangalore Central,12.9485,77.6765,P.C. Mohan,GEN,GEN,Bharatiya Janata Party,Lotus,1078982,71.93,137500
